Player Name,Fantasy Team,POS,TEAM,SLOT,PROJ,FPTS,Week,Year
James Robinson,Team Shamas,RB,,RB,,20.6,4,2021
DK Metcalf,Team Shamas,WR,,WR,,16.5,4,2021
Stefon Diggs,Team Shamas,WR,,WR,,18.4,4,2021
Travis Kelce,Team Shamas,TE,,TE,,6.3,4,2021
CeeDee Lamb,Team Shamas,WR,,FLEX,,3.3,4,2021
Bears,Team Shamas,D/ST,,D/ST,,8,4,2021
Daniel Carlson,Team Shamas,K,,K,,1,4,2021
Kyler Murray,Team Pawlowicz,QB,,QB,,22.62,4,2021
Antonio Gibson,Team Pawlowicz,RB,,RB,,15.5,4,2021
Zack Moss,Team Pawlowicz,RB,,RB,,12.1,4,2021
Tyreek Hill,Team Pawlowicz,WR,,WR,,47.6,4,2021
Ja'Marr Chase,Team Pawlowicz,WR,,WR,,13.7,4,2021
Robert Tonyan,Team Pawlowicz,TE,,TE,,2.8,4,2021
Tyler Lockett,Team Pawlowicz,WR,,FLEX,,6.4,4,2021
Cowboys,Team Pawlowicz,D/ST,,D/ST,,7,4,2021
Greg Joseph,Team Pawlowicz,K,,K,,1,4,2021
Aaron Rodgers,Team Loomis,QB,,QB,,24.12,4,2021
Alvin Kamara,Team Loomis,RB,,RB,,12,4,2021
Chris Carson,Team Loomis,RB,,RB,,4.1,4,2021
DeAndre Hopkins,Team Loomis,WR,,WR,,10.7,4,2021
Keenan Allen,Team Loomis,WR,,WR,,10.6,4,2021
Tyler Higbee,Team Loomis,TE,,TE,,7.6,4,2021
Odell Beckham Jr.,Team Loomis,WR,,FLEX,,5.1,4,2021
Browns,Team Loomis,D/ST,,D/ST,,9,4,2021
Harrison Butker,Team Loomis,K,,K,,6,4,2021
Patrick Mahomes,Team Piazza,QB,,QB,,31.72,4,2021
Jonathan Taylor,Team Piazza,RB,,RB,,20.4,4,2021
Kareem Hunt,Team Piazza,RB,,RB,,16.6,4,2021
Davante Adams,Team Piazza,WR,,WR,,12.4,4,2021
Robert Woods,Team Piazza,WR,,WR,,14.8,4,2021
Mark Andrews,Team Piazza,TE,,TE,,11.7,4,2021
Antonio Gibson,Team Shamas,RB,,FLEX,,13.8,16,2021
Commanders,Team Piazza,D/ST,,D/ST,,5,4,2021
Justin Tucker,Team Piazza,K,,K,,13,4,2021
Justin Herbert,Team Graver,QB,,QB,,21.28,4,2021
Ezekiel Elliott,Team Graver,RB,,RB,,20.3,4,2021
Darrell Henderson Jr.,Team Graver,RB,,RB,,16.6,4,2021
Diontae Johnson,Team Graver,WR,,WR,,24.2,4,2021
Courtland Sutton,Team Graver,WR,,WR,,7.7,4,2021
Darren Waller,Team Graver,TE,,TE,,15,4,2021
Deebo Samuel,Team Graver,WR,,FLEX,,35.7,4,2021
Bengals,Team Graver,D/ST,,D/ST,,1,4,2021
Matt Prater,Team Graver,K,,K,,15,4,2021
Josh Allen,Team Dupre,QB,,QB,,36.5,5,2021
Nick Chubb,Team Dupre,RB,,RB,,24,5,2021
Chase Edmonds,Team Dupre,RB,,RB,,4.4,5,2021
Terry McLaurin,Team Dupre,WR,,WR,,8.6,5,2021
Adam Thielen,Team Dupre,WR,,WR,,6,5,2021
Kyle Pitts,Team Dupre,TE,,TE,,26.9,5,2021
Tee Higgins,Team Dupre,WR,,FLEX,,10.2,5,2021
Bills,Team Dupre,D/ST,,D/ST,,15,5,2021
Younghoe Koo,Team Dupre,K,,K,,11,5,2021
Tom Brady,Team Chasse,QB,,QB,,37.74,5,2021
Derrick Henry,Team Chasse,RB,,RB,,31,5,2021
Najee Harris,Team Chasse,RB,,RB,,22.2,5,2021
Brandin Cooks,Team Chasse,WR,,WR,,5.3,5,2021
Mike Williams,Team Chasse,WR,,WR,,36.5,5,2021
Noah Fant,Team Chasse,TE,,TE,,5,5,2021
Chris Godwin,Team Chasse,WR,,FLEX,,14,5,2021
Buccaneers,Team Chasse,D/ST,,D/ST,,8,5,2021
Tyler Bass,Team Chasse,K,,K,,8,5,2021
Dak Prescott,Team Perrotti,QB,,QB,,20.68,5,2021
Austin Ekeler,Team Perrotti,RB,,RB,,32.9,5,2021
Joe Mixon,Team Perrotti,RB,,RB,,10.5,5,2021
Justin Jefferson,Team Perrotti,WR,,WR,,19.4,5,2021
A.J. Brown,Team Perrotti,WR,,WR,,6.8,5,2021
Dawson Knox,Team Perrotti,TE,,TE,,20.7,5,2021
Jakobi Meyers,Team Perrotti,WR,,FLEX,,9.6,5,2021
Patriots,Team Perrotti,D/ST,,D/ST,,4,5,2021
Greg Zuerlein,Team Perrotti,K,,K,,14,5,2021
Matthew Stafford,Team Sachs,QB,,QB,,16.5,5,2021
Alvin Kamara,Team Sachs,RB,,RB,,29.2,5,2021
Chuba Hubbard,Team Sachs,RB,,RB,,18.4,5,2021
Cooper Kupp,Team Sachs,WR,,WR,,16.2,5,2021
Amari Cooper,Team Sachs,WR,,WR,,15,5,2021
Mike Gesicki,Team Sachs,TE,,TE,,8.3,5,2021
Michael Pittman Jr.,Team Sachs,WR,,FLEX,,20.9,5,2021
Cardinals,Team Sachs,D/ST,,D/ST,,7,5,2021
Matt Gay,Team Sachs,K,,K,,9,5,2021
Jalen Hurts,Team Acquarulo,QB,,QB,,22.92,5,2021
Saquon Barkley,Team Acquarulo,RB,,RB,,0.9,5,2021
James Robinson,Team Acquarulo,RB,,RB,,21.7,5,2021
DJ Moore,Team Acquarulo,WR,,WR,,8.8,5,2021
Stefon Diggs,Team Acquarulo,WR,,WR,,8.9,5,2021
Austin Hooper,Team Acquarulo,TE,,TE,,2,5,2021
Boston Scott,Team Perrotti,RB,,FLEX,,4,9,2021
Raiders,Team Acquarulo,D/ST,,D/ST,,4,5,2021
Daniel Carlson,Team Acquarulo,K,,K,,3,5,2021
Russell Wilson,Team Shamas,QB,,QB,,9.08,5,2021
D'Andre Swift,Team Shamas,RB,,RB,,22.4,5,2021
Alexander Mattison,Team Shamas,RB,,RB,,26.3,5,2021
DK Metcalf,Team Shamas,WR,,WR,,26.8,5,2021
CeeDee Lamb,Team Shamas,WR,,WR,,18.8,5,2021
Travis Kelce,Team Shamas,TE,,TE,,17.7,5,2021
Bryan Edwards,Team Acquarulo,WR,,FLEX,,0,9,2021
Broncos,Team Shamas,D/ST,,D/ST,,2,5,2021
Brandon McManus,Team Shamas,K,,K,,7,5,2021
Kyler Murray,Team Pawlowicz,QB,,QB,,13.66,5,2021
Antonio Gibson,Team Pawlowicz,RB,,RB,,21.2,5,2021
Josh Jacobs,Team Pawlowicz,RB,,RB,,16.7,5,2021
Tyreek Hill,Team Pawlowicz,WR,,WR,,14.8,5,2021
Ja'Marr Chase,Team Pawlowicz,WR,,WR,,27.9,5,2021
Robert Tonyan,Team Pawlowicz,TE,,TE,,1.8,5,2021
Tyler Lockett,Team Pawlowicz,WR,,FLEX,,10.7,5,2021
Cowboys,Team Pawlowicz,D/ST,,D/ST,,9,5,2021
Ryan Succop,Team Pawlowicz,K,,K,,10,5,2021
Aaron Rodgers,Team Loomis,QB,,QB,,19.76,5,2021
