Team,Points For,Opposing Team,Points Against,Win,Loss,Week,Year,Matchup Type
PEDeAndre Hopkins,91.34,S(kittle),86.56,1,0,1,2023,Regular Season
Pocket Aces,95.84,Team Chieffo,146.06,0,1,1,2023,Regular Season
Riley Reid Option,76.08,My digg hurts,138.7,0,1,1,2023,Regular Season
S(kittle),86.56,PEDeAndre Hopkins,91.34,0,1,1,2023,Regular Season
Team Chieffo,146.06,Pocket Aces,95.84,1,0,1,2023,Regular Season
Chase-ing Young Children,170.54,Pocket Aces,135.44,1,0,2,2023,Regular Season
Cup of Joe,129.2,Jah is gay,115.76,1,0,2,2023,Regular Season
Jah is gay,115.76,Cup of Joe,129.2,0,1,2,2023,Regular Season
Mr. FigureItOut,77.04,My digg hurts,130.02,0,1,2,2023,Regular Season
My digg hurts,130.02,Mr. FigureItOut,77.04,1,0,2,2023,Regular Season
PEDeAndre Hopkins,111.4,Riley Reid Option,100.68,1,0,2,2023,Regular Season
Pocket Aces,135.44,Chase-ing Young Children,170.54,0,1,2,2023,Regular Season
Riley Reid Option,100.68,PEDeAndre Hopkins,111.4,0,1,2,2023,Regular Season
S(kittle),116.9,Team Chieffo,110.48,1,0,2,2023,Regular Season
Team Chieffo,110.48,S(kittle),116.9,0,1,2,2023,Regular Season
Chase-ing Young Children,129.74,S(kittle),201.62,0,1,3,2023,Regular Season
Cup of Joe,134.8,Mr. FigureItOut,103.26,1,0,3,2023,Regular Season
Jah is gay,130.32,Pocket Aces,120.36,1,0,3,2023,Regular Season
Mr. FigureItOut,103.26,Cup of Joe,134.8,0,1,3,2023,Regular Season
My digg hurts,106.28,PEDeAndre Hopkins,125.48,0,1,3,2023,Regular Season
PEDeAndre Hopkins,125.48,My digg hurts,106.28,1,0,3,2023,Regular Season
Pocket Aces,120.36,Jah is gay,130.32,0,1,3,2023,Regular Season
Riley Reid Option,119.96,Team Chieffo,166.28,0,1,3,2023,Regular Season
S(kittle),201.62,Chase-ing Young Children,129.74,1,0,3,2023,Regular Season
Team Chieffo,166.28,Riley Reid Option,119.96,1,0,3,2023,Regular Season
Chase-ing Young Children,154.92,Jah is gay,91.28,1,0,4,2023,Regular Season
Cup of Joe,111.98,PEDeAndre Hopkins,77.82,1,0,4,2023,Regular Season
Jah is gay,91.28,Chase-ing Young Children,154.92,0,1,4,2023,Regular Season
Mr. FigureItOut,168.54,Pocket Aces,120.74,1,0,4,2023,Regular Season
My digg hurts,148.96,Team Chieffo,87.24,1,0,4,2023,Regular Season
PEDeAndre Hopkins,77.82,Cup of Joe,111.98,0,1,4,2023,Regular Season
Pocket Aces,120.74,Mr. FigureItOut,168.54,0,1,4,2023,Regular Season
Riley Reid Option,97.98,S(kittle),101.92,0,1,4,2023,Regular Season
S(kittle),101.92,Riley Reid Option,97.98,1,0,4,2023,Regular Season
Team Chieffo,87.24,My digg hurts,148.96,0,1,4,2023,Regular Season
Chase-ing Young Children,119.04,Mr. FigureItOut,119.48,0,1,5,2023,Regular Season
Cup of Joe,106.64,Pocket Aces,86.62,1,0,5,2023,Regular Season
Jah is gay,122.36,Riley Reid Option,134.82,0,1,5,2023,Regular Season
Mr. FigureItOut,119.48,Chase-ing Young Children,119.04,1,0,5,2023,Regular Season
My digg hurts,123.92,S(kittle),162.58,0,1,5,2023,Regular Season
